,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
12865,184888,THANK GOD,Travis Scott,UTOPIA,spotify:track:1PH2MDbcBAU094DlgTIND1,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",72.0
12866,133000,Pull Up (feat. 21 Savage),Toosii,NAUJOUR,spotify:track:4EzkcqltSOxYE2lstuLOFs,6BH1xcDkwbbyrLMUKECsW1,66.0,['north carolina hip hop'],60.0
12867,123844,Forever Humble,Blxst,No Love Lost,spotify:track:5FWVkOvM9A4EUqxFRJ2A1U,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",49.0
12868,160812,Window Shopping (feat. Lil Baby),FRVRFRIDAY,Window Shopping (feat. Lil Baby),spotify:track:5RmUd1skWw9kMFlxPgfcYW,2jwmP4TgzTGqjCfcXMDayW,70.0,"['canadian contemporary r&b', 'canadian hip hop', 'indie hip hop', 'trap soul']",39.0
12869,223173,TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,UTOPIA,spotify:track:0lodMO0qK83vfPiiD7FMEt,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",76.0
12870,173360,go crazy,Gunna,a Gift & a Curse,spotify:track:6YD8EpsddOfEwAhaymGu0Q,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",63.0
12871,142982,Green Light,Lil Durk,Love Songs 4 the Streets 2,spotify:track:2cWCuKoUEw7u75hHyN5A33,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
12872,160202,War Bout It (feat. 21 Savage),Lil Durk,Almost Healed,spotify:track:4muwDurKeVOB1WBjTVRWlD,3hcs9uc56yIGFCSy9leWe7,75.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",58.0
12873,4262,Smoke Break-Dance (feat. JID),Mick Jenkins,Smoke Break-Dance (feat. JID),spotify:track:1Dm5maHjhhmcdqS5hK61Ut,1FvjvACFvko2Z91IvDljrx,54.0,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'underground hip hop']",0.0
12874,853,Back On,Quality Control,Quality Control: Control The Streets Volume 2,spotify:track:5WptmsWwi6FEsTNxN1gUh1,6i392l38cR3uBPF0DbNs7S,72.0,"['melodic rap', 'trap']",55.0
12875,142661,Blueprint,Blxst,Sixtape 3,spotify:track:1t1OFWl4MpfiIJhZe1t6I4,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",32.0
12876,99390,Sucker Free,Key Glock,Glockoma 2 (Deluxe),spotify:track:4ldihBuWBQc6ho2ksOaXR8,0RESbWvOMyua0yuyVrztJ5,73.0,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",49.0
12877,188800,Ningisa (feat. Tayron Kwidan's),Hulk Van JMF,Ningisa (feat. Tayron Kwidan's),spotify:track:3taDmOcts8iAoW9l4eLBI1,2D2Wm1oAJrDRzXVzxkyBOE,53.0,[],36.0
12878,19810,VIBESTARS #4,Genezio,VIBESTARS #4,spotify:track:5e0mzoyzf7dzhbpkxiPjHy,0PcU18DNfkn3pmbjy5yMFz,70.0,['r&b francais'],30.0
12879,41530,Ningisa (feat. Tayron Kwidan's),Hulk Van JMF,Ningisa (feat. Tayron Kwidan's),spotify:track:3taDmOcts8iAoW9l4eLBI1,2D2Wm1oAJrDRzXVzxkyBOE,53.0,[],36.0
12880,58360,Ningisa (feat. Tayron Kwidan's),Hulk Van JMF,Ningisa (feat. Tayron Kwidan's),spotify:track:3taDmOcts8iAoW9l4eLBI1,2D2Wm1oAJrDRzXVzxkyBOE,53.0,[],36.0
12881,177890,UP,Derek King,No Skips II,spotify:track:3zTw4OG9kbL0pWg0OWu3TY,0hF1ENHHpEGZxdRdqwMr6E,43.0,"['pop r&b', 'slow game']",4.0
12882,167097,Pioneer,DDG,Maybe It's Me...,spotify:track:55BwCUPh1Ps4NVfXbgxypW,0WK3H9OErSn5zKOkOV5egm,64.0,"['pop rap', 'trap']",25.0
12883,4054,Pioneer,DDG,Maybe It's Me...,spotify:track:55BwCUPh1Ps4NVfXbgxypW,0WK3H9OErSn5zKOkOV5egm,64.0,"['pop rap', 'trap']",25.0
12884,167097,Pioneer,DDG,Maybe It's Me...,spotify:track:55BwCUPh1Ps4NVfXbgxypW,0WK3H9OErSn5zKOkOV5egm,64.0,"['pop rap', 'trap']",25.0
12885,115550,pussete,Kyle Richh,41 OTR Pt. 2,spotify:track:3JcrEYqsF106h8N3gaKG0g,0hF6lbAjRsq4svrQUr5sgU,74.0,['new york drill'],0.0
12886,730,...The Make Up,Tory Lanez,PLAYBOY,spotify:track:7l09cNteUmR1IHXZRLWaAE,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",58.0
