,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
0,395,Bloody Samaritan (with Kelly Rowland) - Remix,Ayra Starr,Bloody Samaritan (with Kelly Rowland),spotify:track:0RGGAP5gpvToJyUZbiEcXO,3ZpEKRjHaHANcpk10u6Ntq,82.0,['afrobeats'],42.0
1,1091,LEFT RIGHT,Wisa Greid,LEFT RIGHT,spotify:track:1D1hdsuMYmaAVOXnz9hdmt,0fns6rqCFsrwBUXjxdswMm,18.0,['ghanaian pop'],9.0
2,905,Allo,Youka,Allo,spotify:track:1dxl7CSBstnOcLzWrQiBLj,5dDL6ReckbbD5JBnZdobv6,69.0,['r&b francais'],47.0
3,1277,NO IDEA #jerseyclub (Ziahfyah & Indo2x Remix) - SLOWED & REVERB,Don Toliver,NO IDEA #jerseyclub (Ziahfyah & Indo2x Remix),spotify:track:66gOtDjvW09YUpXfAO5opn,4Gso3d4CscCijv0lmajZWs,85.0,['rap'],46.0
4,5154,Choco,Dj Verigal,Choco,spotify:track:5J1GXL8FDxHH1ki8oNz4hD,5ePWFV9DbI6HTMpLnllgMW,34.0,['afro house angolano'],34.0
5,1834,B12,Lil Durk,Almost Healed,spotify:track:7cP6kjAIJtIN1zyV5Q0kA9,3hcs9uc56yIGFCSy9leWe7,74.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
6,103119,INDECISIVE,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:3iO9HBIBWvHwm7F6ZqYWNb,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",43.0
7,147106,ON THE RIVER,Offset,SET IT OFF,spotify:track:1aLpfH1M7Y4ZngOmSiHk0l,4DdkRBBYG6Yk9Ka8tdJ9BW,81.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",60.0
8,120669,i was just thinking,Gunna,a Gift & a Curse,spotify:track:5QG0l8nybp5rLMo7saQHl2,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",48.0
9,183286,Be My Summer,Snoh Aalegra,Be My Summer,spotify:track:18QC5FsQ9FThInUrC6BScS,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",55.0
10,383,LOST YOU,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:26aJMMLBSOQmiC4JenVjjl,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",48.0
11,186540,Be My Summer,Snoh Aalegra,Be My Summer,spotify:track:18QC5FsQ9FThInUrC6BScS,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",55.0
12,25251,LOST YOU,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES,spotify:track:26aJMMLBSOQmiC4JenVjjl,1A9o3Ljt67pFZ89YtPPL5X,66.0,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",48.0
13,2136,City Of Dreams (feat. Chris Brown),Tyla Yaweh,Heart Full of Rage 2,spotify:track:2nLKcpdoIX6oFo5npWHVF4,1MXZ0hsGic96dWRDKwAwdr,56.0,"['cali rap', 'melodic rap']",52.0
14,27213,500lbs,Lil Tecca,TEC,spotify:track:6rjuKpPydT2SxN15TZpV7r,4Ga1P7PMIsmqEZqhYZQgDo,85.0,"['melodic rap', 'pluggnb', 'rap']",78.0
15,2972,"Home (Metro Boomin & Don Toliver, Lil Uzi Vert)",Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE,spotify:track:2qlBAT108lYOzlXhBxBqEv,0iEtIxbK0KxaSlF7G42ZOp,84.0,['rap'],61.0
16,251356,On The Radar Freestyle,Drake,On The Radar Freestyle,spotify:track:1L0OmJV0LnPDWuHCIGmBV6,3TVXtAsR1Inumwj472S9r4,84.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",63.0
17,522569,On The Radar Freestyle,Drake,On The Radar Freestyle,spotify:track:1L0OmJV0LnPDWuHCIGmBV6,3TVXtAsR1Inumwj472S9r4,84.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",63.0
18,154466,Hellcat Kenny (feat. Lil Uzi Vert),Young Thug,BUSINESS IS BUSINESS,spotify:track:5nYygW7bTgPOhckh3uDR9L,50co4Is1HCEo8bhOyUWKpn,81.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",51.0
19,52124,HIGH HOPES,Quintana Mills,HIGH HOPES,spotify:track:6axFjrrxq7o4xcWduz3JW7,0QfS6MisIhAy4LgjlAbWMz,29.0,[],17.0
20,2809,Jonesboro,Young Thug,BUSINESS IS BUSINESS,spotify:track:4mRcWpEcBCXNzrapIH76R7,50co4Is1HCEo8bhOyUWKpn,81.0,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",54.0
21,2670,Law Of Attraction (feat. Snoh Aalegra),Dave,We're All Alone In This Together,spotify:track:25tXNghelZKdGZZVoSL9Yg,6Ip8FS7vWT1uKkJSweANQK,78.0,['uk hip hop'],62.0
22,122949,Carry You - Interlude,Fridayy,Fridayy,spotify:track:2dD5McMaAQlkFFTI9XyQJs,7sP4SQ0WY6jfps1I19Ot7i,66.0,[],40.0
23,1880,Red Button,Drake,For All The Dogs Scary Hours Edition,spotify:track:5Mc8XDfGQCMkOEZm9rS1cE,3TVXtAsR1Inumwj472S9r4,84.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",55.0
24,3482,Bahamas Promises,Drake,For All The Dogs,spotify:track:3JZjcKImHcmOI9ylL4zrSc,3TVXtAsR1Inumwj472S9r4,84.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",64.0
25,119537,SKITZO (feat. Young Thug),Travis Scott,UTOPIA,spotify:track:0bkV1iQHSxBaksUqgEkcbc,0Y5tJX1MQlPlqiwlOH1tJY,88.0,"['rap', 'slap house']",68.0
26,4992,SAID+DONE,FRVRFRIDAY,SAID+DONE,spotify:track:2630Nsy5LsKK3lbT0pOmI2,2jwmP4TgzTGqjCfcXMDayW,70.0,"['canadian contemporary r&b', 'canadian hip hop', 'indie hip hop', 'trap soul']",21.0
27,1555,killstreaks (with Don Toliver & PinkPantheress),Baby Keem,The Melodic Blue (Deluxe),spotify:track:754hhnczVNu3ibRaoAcujX,5SXuuuRpukkTvsLuUknva1,79.0,"['hip hop', 'rap']",53.0
28,1880,Never Imagined (feat. Future),Lil Durk,Almost Healed,spotify:track:4fbXBeVeqzZ0SmJQcWm4St,3hcs9uc56yIGFCSy9leWe7,74.0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",48.0
29,4690,Wall To Wall,Quavo,Rocket Power,spotify:track:6IgFFnT7ikUWvFSjzxNf0S,0VRj0yCOv2FXJNP47XQnx5,77.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",37.0
30,80387,Water (Drowning Pt. 2) [feat. Kodak Black],A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],spotify:track:3J8uSfhmDeIgWrzxUAd8rm,31W5EY0aAly4Qieq6OFu6I,74.0,"['melodic rap', 'rap', 'trap']",41.0
31,8661,Unchained (Outro),Calboy,UNCHAINED,spotify:track:7BdMUuNt2grqHBWPMkmAzg,0HkcYmcjrBR3SCw9Ld5VZk,60.0,"['chicago rap', 'melodic rap']",10.0
32,1996,"Soweto (with Don Toliver, Rema & Tempoe)",Victony,"Soweto (with Don Toliver, Rema and Tempoe)",spotify:track:25Kyv5SeEenT0EETpP2hYn,1E5hfn5BduN2nnoZCJmUVG,71.0,"['afrobeats', 'nigerian pop']",71.0
