,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,artist_ids,top_track_popularities,genres,track_popularities
2369,260727,Posse,King Gotit,4REIGN 4EVER,spotify:track:3lhX31I2z2oNjv3PMnFNpb,6wYTXLSRP9rMmmG05W07Gp,40.0,['atl trap'],0.0
2370,58569,Hurricane,Kanye West,Hurricane,spotify:track:44I7sqKYCAa7bQdVywkShO,5K4W6rqBFWDnAN6FQUkS6x,84.0,"['chicago rap', 'hip hop', 'rap']",59.0
2371,780,Intro (Hate on Me),Meek Mill,Expensive Pain,spotify:track:4s7TIubkdsgdtDEDFEAYVL,20sxb77xiYeusSH8cVdatc,74.0,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",43.0
2372,950,Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,3TVXtAsR1Inumwj472S9r4,85.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",74.0
2373,1350,50,Paidway T.O,50,spotify:track:156TC4R8HKDOs694Q1IC7z,153pwXdbaK62ClO7YhXDjN,29.0,[],17.0
2374,167840,thought i was playing,Gunna,DS4EVER,spotify:track:3XLbDUB5BX2WqL2qoAsvtb,2hlmm7s2ICUX0LVIhVFlZQ,83.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.0
2375,163465,,,,,,,,
2376,191966,Enchanted Waterfall,Tory Lanez,Alone At Prom,spotify:track:2sw9r0DEwO1Nqg6eBtsCcc,2jku7tDXc6XoB6MO2hFuqg,83.0,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",0.0
2377,61304,Go To War,Blxst,Go To War,spotify:track:0pwDJi7knIPEwpwlyn7GMK,4qXC0i02bSFstECuXP2ZpL,73.0,"['pop rap', 'westcoast flow']",30.0
2378,234288,Eazy,The Game,Eazy,spotify:track:6Ab81Bs9fcOwaTYuBsUUpI,0NbfKEOTQCcwd6o7wSDOHI,78.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",53.0
2379,234288,Eazy,The Game,Eazy,spotify:track:6Ab81Bs9fcOwaTYuBsUUpI,0NbfKEOTQCcwd6o7wSDOHI,78.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",53.0
2380,234288,Eazy,The Game,Eazy,spotify:track:6Ab81Bs9fcOwaTYuBsUUpI,0NbfKEOTQCcwd6o7wSDOHI,78.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",53.0
