,track_id,average_seconds_played,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name_x,artist_name_x,artist_id_x,genres_x,track_popularity_x,track_name_y,artist_name_y,artist_id_y,genres_y,track_popularity_y,avg_completion_rate,total_plays
1823,spotify:track:44I7sqKYCAa7bQdVywkShO,145.799,0.477,0.566,0.0,-6.521,1.0,0.214,0.0344,0.0,0.127,0.361,78.293,4.0,Hurricane,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",59.0,Hurricane,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",59.0,0.6121301688197731,5
2507,spotify:track:5bFym95c4l7Q7cVIYArOzC,145.796,0.865,0.383,1.0,-10.154,1.0,0.252,0.579,0.0,0.127,0.245,135.049,4.0,Helluva Price,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",59.0,Helluva Price,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'melodic rap', 'rap', 'trap']",59.0,1.0,1
1978,spotify:track:4OTfzPtlbQOrZfzxOxeUfL,145.759,0.589,0.743,1.0,-4.347,1.0,0.28,0.0682,0.0,0.0888,0.749,122.932,5.0,Keep Comin' Back,Blxst,4qXC0i02bSFstECuXP2ZpL,"['pop rap', 'westcoast flow']",36.0,Keep Comin' Back,Blxst,4qXC0i02bSFstECuXP2ZpL,"['pop rap', 'westcoast flow']",36.0,1.0,2
2162,spotify:track:4mkguQG08ITzkOuwxEEhDt,145.69,0.477,0.722,6.0,-6.42,0.0,0.397,0.629,0.0,0.28,0.365,93.385,1.0,child of GOD,Blxst,4qXC0i02bSFstECuXP2ZpL,"['pop rap', 'westcoast flow']",38.0,child of GOD,Blxst,4qXC0i02bSFstECuXP2ZpL,"['pop rap', 'westcoast flow']",38.0,0.836102359267485,1
2286,spotify:track:52nTQQahs46s1iHFQ3Wv5Q,145.672,0.723,0.516,11.0,-10.707,0.0,0.485,0.00311,1.26e-06,0.115,0.223,155.967,4.0,Pissed Me Off,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0,Pissed Me Off,Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",47.0,1.1835842602598374,1
156,spotify:track:0N83qk5axJe71xNDXeViFQ,145.5952,0.463,0.847,11.0,-6.776,0.0,0.0511,0.0307,0.0,0.117,0.625,114.962,4.0,Bounce,Rema,46pWGuE3dSwY3bMMXGBvVS,"['afrobeats', 'nigerian pop']",54.0,Bounce,Rema,46pWGuE3dSwY3bMMXGBvVS,"['afrobeats', 'nigerian pop']",54.0,0.7753374906141665,5
2247,spotify:track:4xlKyYuOlA94jRW2S7IM1a,145.561,0.577,0.701,1.0,-5.218,1.0,0.334,0.0405,0.0,0.313,0.7,156.008,4.0,Big Mama,Latto,3MdXrJWsbVzdn6fe5JYkSQ,['trap queen'],54.0,Big Mama,Latto,3MdXrJWsbVzdn6fe5JYkSQ,['trap queen'],54.0,0.8365574712643679,1
545,spotify:track:1Es7AUAhQvapIcoh3qMKDL,145.5095,0.769,0.722,11.0,-5.485,0.0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4.0,Timeless (with Playboi Carti),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",92.0,Timeless (with Playboi Carti),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",92.0,0.568396484375,2
965,spotify:track:2AEtYwT9qg2eY6G9m8wOxW,145.50933333333333,0.853,0.881,1.0,-4.949,1.0,0.178,0.0809,0.0,0.141,0.922,139.991,4.0,My Business (feat. Future),NAV,7rkW85dBwwrJtlHRDkJDAC,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",40.0,My Business (feat. Future),NAV,7rkW85dBwwrJtlHRDkJDAC,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",40.0,0.7308170730686488,3
1670,spotify:track:3iO9HBIBWvHwm7F6ZqYWNb,145.40883333333332,0.431,0.464,1.0,-6.087,0.0,0.16,0.439,0.0024,0.133,0.386,187.663,4.0,INDECISIVE,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",43.0,INDECISIVE,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",43.0,0.7455333948591741,12
2813,spotify:track:6J8y4lu18GkXuNhGCuZqzS,145.401,0.956,0.649,8.0,-5.148,0.0,0.222,0.00995,0.0,0.0929,0.491,134.01,4.0,Menace,Migos,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",39.0,Menace,Migos,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",39.0,1.0031875478649641,2
